IFAD Option,# of Spots Available ,Students interested in the following career field(s) would most benefit: ,Company/Organization/ Agency Name,Job Title,Website,"Description of Company/Organization/Agency (provided by the host)
",What can you expect from meeting with this host? (provided by the host),Company/Org Physical Address,"Work City, State, Zip Ex: College Park, MD, 20742",DC metro accessible (train or bus) from College Park?,Federal government agency or federal contractor,Require that the student is a US Citizen?,Required to complete and pay for a background check?,What days of the week would work best with your availability?,"Available during Spring Break from March 16-23, 2025.",UMD's Alumni?,Is there any more information you would like to share?
60-minute virtual informational interviews,2,"Arts and Entertainment,Business",Jesse Raudales Inc.,Olympic Artist CEO,www.jesseraudales.com,"Jesse Raudales is a renowned artist and humanitarian who has made a significant impact on the art world, especially through his distinctive and socially conscious work. His organization is an incredible resource for students who aspire to become professional artists. Here’s a detailed description of what Jesse Raudales’ organization might represent and offer to help young and emerging artists: Vision and Mission The core mission of the Jesse Raudales organization is to foster creativity, provide access to education, and cultivate artistic skills in aspiring artists of all ages and backgrounds. Jesse Raudales is committed to breaking barriers in the art world, making art more inclusive, and encouraging artists to express themselves while also addressing important social issues.","Jesse Raudales Organization: Empowering the Next Generation of Artists The Jesse Raudales Inc., organization is dedicated to inspiring, educating, and uplifting students and young creatives who want to pursue careers in the arts. Rooted in Jesse Raudales’ belief that art has the power to transform lives and create social change, the organization provides resources, mentorship, and platforms to nurture artistic talent, especially for those from underrepresented or underserved communities. Inclusivity and Social Impact Jesse Raudales is passionate about making the art world more diverse and inclusive. The organization actively supports students from underserved communities, giving them a voice and the tools to succeed. It promotes diversity by amplifying stories and perspectives that are often overlooked. Art for Healing and Empowerment: Through art therapy programs, the organization uses creative expression to help students and young people overcome personal struggles, find healing, and build self-confidence. Global and Local Outreach: The organization collaborates with schools, community centers, and other nonprofits to reach students worldwide. By offering workshops in both urban and rural areas, it ensures that no student is left behind. Why Students Should Join Joining the Jesse Raudales inc. organization provides aspiring artists with more than just education—it gives them a community. Students are surrounded by like-minded peers and professionals who share their passion for art. By participating in the organization’s programs, students gain: Access to exclusive resources, tools, and mentorship. Opportunities to display their artwork and build their reputation. A deeper understanding of how to make a positive impact through their art. Inspiration and encouragement from Jesse Raudales’ own journey and success.",9548 Noble Drive,"Upper Marlboro, MD 21401",,,No,,,Yes,No,no
60-minute virtual informational interviews,2,"Arts and Entertainment,Communications, Journalism, Media,Consulting",Renegade Press,Author-Screenwriter,https://www.debbimack.com/,"I'm a self-published mystery writer, who established an imprint for my books in 2010. So far, I've published eight novels, compiled and edited two collective works of fiction, and published my film noir reviews as ebooks. Before that, I worked as a freelance writer and added research to my services after earning an MLS from UMd. in 2002. I'm also a writer of unproduced (so far) screenplays, with plans to make a short film in the near future. I produce and host the Crime Cafe podcast, where I interview other crime, suspense, and thriller authors. I also produce and co-host Dark and Twisted Alleys: A Film Noir Podcast.","Writing was a second career for me, after practicing law for about 10 years. I can provide insight into the pros and cons of getting published by a traditional press vs. independent publishing, as well as what it's like to change careers. I'm more than willing to share what it's been like to delve into screenwriting, at a slightly more advanced age than many newcomers to the field. Along with enough legal knowledge to make me aware of the need to understand contracts and copyright issues.",7888 Savage Guilford Rd.,Jessup MD 20794,,,,,,Yes,Yes,Virtual informational interviews only
60-minute virtual informational interviews,2,Business,HMH,Chief Revenue Officer,hmhco.com,K-12 School Education Technology organization focused on student growth through use of software and print offerings that assist teachers in guiding student to reach their full potential.,"Students interested in a broad range of managerial opportunities and insight across: finance, accounting, P&L management, data analytics, sales, marketing, corporate development, technology, product management, customer success and corporate strategy - in a B to B SaaS environment.",125 High Street,"Boston, MA 02110",,,,,Any weekday (Mon-Fri),Yes,Yes,
60-minute virtual informational interviews,2,"Business,Data Science and Data Analytics,Sales and Marketing, Alternative Investments",Ares Management,"Vice President, Strategic Partnerships",https://www.aresmgmt.com/,"Ares Management Corporation (NYSE: ARES) is a leading global alternative investment manager offering clients complementary primary and secondary investment solutions across the credit, private equity, real estate and infrastructure asset classes. We seek to provide flexible capital to support businesses and create value for our stakeholders and within our communities. By collaborating across our investment groups, we aim to deliver consistent and attractive investment returns throughout market cycles.","Students will experience the diverse career path of asset management with a person with extensive knowledge of nontraditional career path within finance. I have personally been involved in investment allocation, business building, designing and implementing technology initiatives, fundraising and understanding alternative investments.",245 Park Avenue,"New York, NY, 10167",,,No,,"Tues,Wed,Thurs,Fri",Yes,Yes,
60-minute virtual informational interviews,2,"Communications, Journalism, Media,Education,Policy and Advocacy, Public affairs",Howard County (MD) Board of Education,Board member,HCPSS.org,"HCPSS is a large, highly regarded public school system in Maryland facing issues related to budget shortfalls, housing crisis, teacher shortage, special education challenges, gun violence and safety, immigration, and cell phones distractions.","Working with press, local, state and federal officials, parents, students, and advocacy groups to find solutions to complex problems.",10910 Clarksville Pike,"Ellicott City, MD 21042",,,,,,Yes,Yes,
60-minute virtual informational interviews,2,"Computing/Computer Science and Technology ,Data Science and Data Analytics,Sales and Marketing,Science and Research, Survey Methodology",U.S. Census Bureau,Experiments and Evaluations Chief,census.gov,"Although the U.S. Census Bureau carries out hundreds of surveys every year, its most well-known duty is still to conduct the Decennial Census. Census results have several high-profile applications: they are used to reapportion seats in the House of Representatives (reapportionment), to realign congressional districts (redistricting), and as a factor in the formulas that distribute hundreds of billions of dollars in federal funds each year.  My unit conducts research to improve the data collection for the largest two surveys in the United States:  The Decennial Census and the American Community Survey.  Ensuring we produce a complete and accurate count is part of every step of the census—from designing the census to collecting and processing the data.","I am the Chief of the Experiments and Evaluations area within the Decennial Statistical Studies Division, which is responsible for researching survey respondent contact strategies, adaptive survey design for reducing non-response bias, statistical models and machine learning to detect suspicious survey submissions, and using administrative data to reduce public burden.  We research, design, and test various methods for improving our major surveys, including the decennial census.  We focus on experiments, evaluations, and assessments of census and survey methods, which involves a diverse group of experts from various fields such as statisticians, data scientists, survey methodologists, geographers, and cognitive psychologists, as well as policy and program management specialists.  Students who spend time with me will get a sense for how our diverse teams come together to contribute to interesting projects that provide accurate allocation of money and resources across the nation and how their academic training and experience might fit into our mission.",4600 Silver Hill Road,"Washington, DC, 20233",,,,,Tues,Yes,Yes,
60-minute virtual informational interviews,2,Cybersecurity,Capital One,Cyber Technical Associate,capitalone.com,We are a tech company masquerading as a bank.,Anyone interested in anything remotely related to technology will benefit from a conversation!,1680 Capital One Dr,"McLean, VA 22102",,,Yes,,,Yes,Yes,
60-minute virtual informational interviews,2,"Education,NonProfit and Social Services,",Salesforce,Account Executive,https://www.salesforce.com/,"From the start, Salesforce has sought to change the world for the better through technology that builds stronger relationships. Salesforce builds bridges between companies and customers. Salesforce started as a CRM company in the late 90s and has evolved into so much more than that. Its guiding principles are Trust, Customer Success, Innovation, and Equality. We're a tech company that wants to leave the world a better place than how we found it.","With the experience of my extensive sales career, I am able to provide advice on transitioning from college to the professional world, startup life, as well as transitioning into the tech industry. Also, I can speak to work/life balance and staying involved with Maryland as an alumni. I'm also happy to speak about the transition from living on the East Coast to moving to the West Coast!",415 Mission Street,"San Francisco, CA",,,,,Any weekday (Mon-Fri),Yes,Yes,
60-minute virtual informational interviews,2,"Government and International Relations,Museums and Library Services,NonProfit and Social Services",Maryland State Archives,"Senior Director, Special Collections, Conservation & Library Services",https://msa.maryland.gov/,"The Maryland State Archives in Annapolis, Maryland, is an independent agency within the Maryland State government with a number of responsibilities. First and foremost the mission is to be the central depository for government records of permanent value. The Special Collections Department supervises the care, preservation, accessioning, and description of non-state agency generated records of historical or cultural significance, which include personal letters, diaries, organizational records, newspapers, photographs, maps, and documents. We also manage community archiving projects, including our work to make records about the Indigenous Peoples of our region accessible to the public.","I am happy to share my experiences with working at cultural heritage museums and archives since my graduation from UMD. I manage a multi-faceted department focused on public access to private collections about the State of Maryland's history and culture. I act as a curator, evaluating potential collections and working with donors. My team and I also catalog incoming collection materials that range from paper and books to photographs, works of art, and audio-visual media. The conservation team manages the daily preservation of historic records materials. Our library services team works to provide access to government reports as well as a library about all things Maryland. Our Indigenous Peoples Program is engaging with community members across Maryland and the region to elevate the perspectives of Eastern Woodland Peoples through oral histories and collecting community photographs.",350 Rowe Boulevard,"Annapolis, MD 21401",,,,,,Yes,Yes,n/a
60-minute virtual informational interviews,2,Health and Healthcare,CVS Pharmacy,Pharmacist,CVS.com,"CVS pharmacy plays an important role in healthcare by providing pharmaceutical care at retail by dispensing medications, providing immunizations and guidance to patients and as well as providers",Students can learn about the role a pharmacist plays at retail level as well as at other kinds of settings,3110 Olney-Sandy Spring Road,Olney,,No,,,Any weekday (Mon-Fri),Yes,No,
60-minute virtual informational interviews,2,"Health and Healthcare,NonProfit and Social Services",Coaching Salud Holistica,Community Health Worker,https://www.coachingsaludholistica.com/,"Coaching Salud Holistica, LLC is a community health consulting company dedicated to improving health literacy and expanding healthcare access for Latino and immigrant communities. Established in 2022 in Maryland, we provide bilingual (English and Spanish) wellness services, health education, and culturally tailored coaching to support holistic well-being. Our team of community health workers, health educators, and healthcare professionals delivers personalized guidance on nutrition, emotional wellness, chronic disease prevention, and maternal health. We collaborate with nonprofits, hospitals, clinics, schools, and local governments to provide impactful health programs and training.","Students will engage in an informational interview to explore the field of community health and public health outreach. This session will provide insight into the role of community health workers, how they help bridge healthcare gaps for Latino and immigrant communities, and the impact of holistic wellness initiatives. Students will learn about career paths in public health, health education, and advocacy, gain a deeper understanding of health disparities and culturally competent care, and receive guidance on the skills and experiences that can help prepare them for a future in community health. This is a great opportunity to ask questions, explore real-world applications of public health, and connect with professionals dedicated to empowering underserved populations.",8386 Dream Pl,"Walkersville, MD 21793",,,,,,No,Yes,N/A
60-minute virtual informational interviews,2,Law and Law Enforcement,The Philadelphia Police Department,Junior Law Enforcement Analyst,N/A,"I work for the Philadelphia Police Department under the Intelligence Bureau as a law enforcement analyst. The department has a fusion center known as the Delaware Valley Intelligence Center which houses analysts, officers, and agents from different agencies around Philadelphia. The purpose of the fusion center is to share information in order to track and analyze crime and data for the city of Philadelphia and surrounding counties.","I would like to complete the informal interview however, through this, the student would be able to learn more about my career path and gain some insight of what's needed to gain experience in the field if interested.",2800 S 20th Street,"Philadelphia, PA",,,,,,Yes,No,None
60-minute virtual informational interviews,2,"Sales and Marketing, Human Resources",Elanco Animal Health,"Director, Global Talent Acquisition",www.elanco.com,"Elanco is an enterprise of purpose-driven people, we believe healthy animals are key to solving some of the world's most pressing issues.
 
 At Elanco, we provide those who raise and care for animals with the products and services that empower them to address global challenges.
 
 We combine our purpose-driven world view with decades of scientific innovation to advance the health of animals in collaboration with those who love and raise them.","After over 10 years working as a scientist and leading project teams in animal health product development within Elanco R&D, I made a career pivot to human resources. For one year I lead the talent acquisition strategy for R&D there. Currently I am Director of Global Talent Acquisition, leading a total team of over 15 people who recruit for Elanco around the world. My team recruits for R&D, Sales, Marketing, Finance and other corporate functions.
 
 Students who would benefit from speaking with me are those that are interested in a career in research, discussing the differences between academic and industry careers, those considering pursuing graduate degrees in the life sciences, those with an animal science or agriculture background, or those that just want to do general career exploration.
 
 I am a firm believer that your ""dream job"" is out there, you just need to find it. And there isn't just one of them. You will find incredibly diverse opportunities out there, you just need to experiment to find the right one for you!",2500 Innovation Way,"Greenfield, IN 46140",,,,,"Tues,Wed,Thurs",Yes,Yes,
60-minute virtual informational interviews,2,Transportation,DOT,HR Director,https://www.nhtsa.gov/,"Students will gain first hand knowledge and experience of the daily operations of an Office of Human Resources which is in every business and organization. OHR plays a vital role in hiring, onboarding, training and development, performance management, to retirement. There a lot of opportunities for students interested in Public Service within the Federal Government. My journey was ""OHR Intern to OHR Director.""","As OHR Director, I oversee the planning, developing, and implementation of the human resources development and management programs (e.g. staffing and placement, classification, benefits, training, pay, leave, employee and labor relations, HR system, etc.)."" 
 
 The intern will have an opportunity to:
 Increase knowledge and awareness of human resources as an essential function of all organizations. 
 Learn about NHTSA's mission and functions and how it relates to U.S. Department of Transportation. 
 Seek career advice about internships and career opportunities within the Federal Government. 
 Shadow the OHR Director and attend meetings with various stakeholders.
 Conduct interviews with staff , leaders, and other professional within NHTSA across OHR.","1200 New Jersey Ave, SE","Washington, DC 20590",,Yes,,Yes,Any weekday (Mon-Fri),Yes,Yes,
60-minute virtual informational interviews,3,Agriculture/Environment,United States Department of Agriculture,Animal Health Tech,https://www.aphis.usda.gov/,"The United States Department of Agriculture is large government agency. Animal Plant Health Inspection Services (APHIS) is one of many organizations that fall under the USDA umbrella, and within APHIS that's where you find Veterinary Services (VS). As a whole VS helps protect farmers and the commodities grown within the United Sates. We are a regulatory agency and make sure that protocols are being follow as well as preforming duties related to disease eradication and prevention.","As of lately my job has been focused on responding to Highly Pathogenic Avian Influenza across the U.S which I have done many roles as a responder included surveillance, depopulation, and disposal. When home I help with sheep studies in my state, as well as perform outreach at any fairs, local feed store, summer camps etc. to help spread awareness of immerging diseases and inform the community of good biosecurity practices.",1506 Klondike Rd SW Unit 300,"Conyers, GA 30094",,,,,,Yes,No,
60-minute virtual informational interviews,3,"Agriculture/Environment, Science and Research",MRIGlobal,Capability Manager II,www.mriglobal.org,"MRIGlobal is a nonprofit contract research organization that specializes in developing innovative solutions to important challenges. We aim to improve the lives of people around the world through innovative scientific and engineering research. Our technical staff includes engineers, physical scientists, biological scientists, and safety professionals, allowing us to provide uniquely multidisciplinary support for our government, commercial, and academic customers and partners.","As a credentialed biosafety professional who completed a PhD and postdoc in microbiology, I have experience in both academic-style and contract-based biological research laboratories. I can talk about career opportunities away from the laboratory bench for individuals with solid science backgrounds; challenges associated with working internationally; setting SMART goals for oneself; and skills that I've found extraordinarily valuable across multiple different roles and career tracks.",65 West Watkins Mill Rd,"Gaithersburg, MD, 21702",,,,,Any weekday (Mon-Fri),Yes,No,
60-minute virtual informational interviews,3,"Agriculture/Environment,Consulting",AECOM,Environmental Scientist,https://aecom.com/,"We work closely with clients and communities to solve the most complex environmental challenges throughout the business life cycle: asset development, operations optimization, integrated products, and restoration and reuse. AECOM employs innovative solutions to meet our clients’ site closure objectives. Our experts integrate scientific and engineering knowledge with responsive and cost-effective project management, strong communication skills, and an understanding of regulatory strategies and challenges. We understand that every project is different, and we have the depth and breadth of resources to address your contaminated site challenge.","During the 60-minute interview students will gain an understanding of the Environmental Consulting and Remediation workforce. I have experience working on long term remediation projects for Army and Navy bases all across the country. AECOM is a large company with many opportunities. Some of my other job duties include assisting a Environmental Accounting Program for the Navy, writing environmental policy for government agencies, and creating reports and project plans for large scale remediation projects.","3101 Wilson Blvd, Suite 900",Arlington,,,,,,Yes,Yes,
60-minute virtual informational interviews,3,"Agriculture/Environment,Engineering,Government and International Relations,Policy and Advocacy,Science and Research",USDA APHIS,Environmental Protection Specialist,https://www.aphis.usda.gov/aphis/home/,"The Animal and Plant Health Inspection Service (APHIS) protects the health of U.S. agriculture and natural resources against invasive pests and diseases, regulates genetically engineered crops, administers the Animal Welfare Act, and helps people and wildlife coexist. APHIS also certifies the health of U.S. agricultural exports and resolves phytosanitary and sanitary issues to open, expand, and maintain markets for U.S plant and animal products.","Student intern is presented with USDA APHIS's organization charts and main programs 
Student intern follows me at meetings, is exposed to other members of the Division/Unit, and learn all that each member or project team is working on. Intern can ask questions.
Student intern participates to APHIS activities to get familiar with real-word environmental projects (NEPA, ESA, FIFRA, etc.)
Student intern may learn some GIS skill or contribute in GIS mapping",4300 River Road,"Riverdale, MD 20737",,,,,"Mon,Wed,Thurs,Fri",Yes,Yes,
60-minute virtual informational interviews,3,"Architecture/Real Estate,Business",Seabreeze Management Company,"Vice President, People",www.seabreezemgmt.com,"Seabreeze Management company specializes in Homeowner Association (HOA) management in Arizona, California, Idaho, Nevada and Washington. We are hired by the association to manage the common areas of the community, ensuring compliance with community and state rules and regulations.","The HOA industry is complex, ever changing and dependent of people who can traverse working with a Board of Directors who are homeowners in the community. Student will learn about the intricacies of managing Board expectations that do not violate state laws.","26840 Aliso Viejo Parkway, Suite 100","Aliso Viejo, CA 92656",,,,,,Yes,Yes,
60-minute virtual informational interviews,3,Arts and Entertainment,Olney Theatre Center,Director of Education and Training,https://www.olneytheatre.org/,"MISSION Olney Theatre Center for the Arts produces and curates theatrical performance for the diverse audiences in our community, and educates, learns from, supports and inspires a more inclusive generation of theater-makers. VISION We strive to become an arts and culture powerhouse, redefining the American regional theater movement by cultivating and sharing the creativity of our community.","This opportunity is best for students with an interest in the theatre, whether that is onstage, offstage, or backstage. There are many different career pathways in the performing arts that many students aren't aware of until after graduation. I encourage you to take a look at the list of our staff on our website and asking me questions about what that particular staff person does for their job or what happens in that department.",2001 Olney Sandy Spring Rd.,Olney,,,,,,No,No,
60-minute virtual informational interviews,3,"Arts and Entertainment,Business,Communications, Journalism, Media,Sales and Marketing",Prudential Financial,VP Head of Creative,www.prudential.com,"Prudential is one of the largest financial services companies in the world. For 150 years, Prudential has worked to make financial security accessible to as many individuals as possible and is a recognized global leader in expanding access to investing, insurance, and retirement security.","I lead the in-house ad agency for Prudential, supporting their US businesses. Students who would benefit from this experience would be looking for careers in advertising and marketing communications from a writing, design, video, or strategy perspective. I can walk them through a day in the life of a creative professional looking to create brands, commercials, websites, social media, and other promotional activities.",213 Washington St,"Newark, NJ 07102",,,No,,Any weekday (Mon-Fri),Yes,No,
60-minute virtual informational interviews,3,"Business,Consulting,Data Science and Data Analytics",KPMG,Tax Manager,https://kpmg.com/us/en/home.html,"KPMG is a Big 4 professional services firm providing audit, tax, and advisory services to Fortune 500 and large private companies.","I am a tax manager and provide tax due diligence services on transactions.  We examine tax types ranging from income, sales and use, employment and payroll, gross receipts, and property taxes and unclaimed property.  As a part of the tax diligence process, we analyze historical tax and financial information and come up with questions to ask the target and its advisors.  After the call, we typically issue a report summarizing our findings and flag issues along with an exposure calculation.  We also provide the banking and legal teams with information to help them with the negotiations process for the deal.",345 Park Avenue,"New York, NY 10154",,,,,"Tues,Wed,Thurs",Yes,Yes,
